,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
737,14059429,I called for frog everywhere,I call for frog everywhere,,,declarative,eng,6,5,6,POLER,pro:sub v prep n adv,CHI,146,Target_Child,146,91.00186862153227,female,26.708,30.139,s,Clinical-MOR,17,256,18518,18518,31521
738,14059430,and the dog fell and broke the bowl,and the dog fall and break the bowl,,,declarative,eng,10,8,9,POLER,coord det:art n v coord v det:art n,CHI,139,Target_Child,139,135.00277213084456,male,33.917,36.135,s,Clinical-MOR,17,256,18512,18512,31518
739,14059431,and he couldn't get out,and he could get out,,,declarative,eng,6,5,8,POLER,coord pro:sub mod v adv,CHI,133,Target_Child,133,63.0012936610608,female,46.601,49.593,s,Clinical-MOR,17,256,18511,18511,31517
740,14059432,and had got out of the jar,and have get out of the jar,,,declarative,eng,9,7,5,POLER,coord v v adv prep det:art n,CHI,136,Target_Child,136,110.00225877328076,female,21.08,26.531,s,Clinical-MOR,17,256,18513,18513,31519
741,14059434,my dog put his head in the jar and got stuck and fell out of the window,my dog put his head in the jar and get stick and fall out of the window,,,declarative,eng,21,17,7,POLER,det:poss n v det:poss adj prep det:art n coord v v coord v adv prep det:art n,CHI,146,Target_Child,146,91.00186862153227,female,30.139,39.429,s,Clinical-MOR,17,256,18518,18518,31521
742,14059435,and frogs like water,and frog like water,,,declarative,eng,5,4,4,POLER,coord n prep n,CHI,217,Target_Child,217,52.00106778373272,male,,,None,Clinical-MOR,17,256,18517,18517,31520
743,14059436,and the boy was mad,and the boy be mad,,,declarative,eng,7,5,10,POLER,coord det:art n cop adj,CHI,139,Target_Child,139,135.00277213084456,male,36.135,37.505,s,Clinical-MOR,17,256,18512,18512,31518
744,14059437,and he fell out of the window,and he fall out of the window,,,declarative,eng,8,7,9,POLER,coord pro:sub v adv prep det:art n,CHI,133,Target_Child,133,63.0012936610608,female,49.593,57.296,s,Clinical-MOR,17,256,18511,18511,31517
745,14059438,when the boy was finished taking ta um taking his nap he looked at the jar,when the boy be finish take his nap he look at the jar,,,declarative,eng,18,16,6,POLER,conj det:art n aux part part det:poss n pro:sub v prep det:art n,CHI,136,Target_Child,136,110.00225877328076,female,,,None,Clinical-MOR,17,256,18513,18513,31519
746,14059439,so he climbed out,so he climb out,,,declarative,eng,5,4,5,POLER,co pro:sub v adv,CHI,217,Target_Child,217,52.00106778373272,male,11.14,15.136,s,Clinical-MOR,17,256,18517,18517,31520
747,14059440,they looked they went out of the house and looked near the woods,they go out of the house and look near the wood,,,declarative,eng,14,13,11,POLER,pro:sub v adv prep det:art n coord v prep det:art n,CHI,139,Target_Child,139,135.00277213084456,male,37.505,44.616,s,Clinical-MOR,17,256,18512,18512,31518
748,14059442,I looked for frog in the woods in a hole in a tree,I look for frog in the wood in a hole in a tree,,,declarative,eng,15,13,8,POLER,pro:sub v prep n prep det:art n prep det:art n prep det:art n,CHI,146,Target_Child,146,91.00186862153227,female,,,None,Clinical-MOR,17,256,18518,18518,31521
749,14059443,the boy got mad,the boy get mad,,,declarative,eng,5,4,10,POLER,det:art n v adj,CHI,133,Target_Child,133,63.0012936610608,female,57.296,61.771,s,Clinical-MOR,17,256,18511,18511,31517
750,14059445,they looked in a burrow and near a beehive,they look in a burrow and near a beehive,,,declarative,eng,10,9,12,POLER,pro:sub v prep det:art n coord prep det:art n,CHI,139,Target_Child,139,135.00277213084456,male,44.616,49.79,s,Clinical-MOR,17,256,18512,18512,31518
751,14059446,and my dog looked in a beehive,and my dog look in a beehive,,,declarative,eng,8,7,9,POLER,coord det:poss n v prep det:art n,CHI,146,Target_Child,146,91.00186862153227,female,39.429,59.438,s,Clinical-MOR,17,256,18518,18518,31521
752,14059447,and he didn't see the frog,and he do see the frog,,,declarative,eng,8,6,7,POLER,coord pro:sub mod v det:art n,CHI,136,Target_Child,136,110.00225877328076,female,26.531,37.522,s,Clinical-MOR,17,256,18513,18513,31519
753,14059448,uh the boy i is yelling,the boy be yell,,,declarative,eng,6,6,11,POLER,det:art n aux part,CHI,133,Target_Child,133,63.0012936610608,female,61.771,74.637,s,Clinical-MOR,17,256,18511,18511,31517
754,14059450,when when when mac when Max woke up the frog was gone,when Max wake up the frog be go,,,declarative,eng,12,12,6,POLER,conj n:prop v adv det:art n aux part,CHI,217,Target_Child,217,52.00106778373272,male,15.136,21.487,s,Clinical-MOR,17,256,18517,18517,31520
755,14059451,they looked in trees,they look in tree,,,declarative,eng,6,4,13,POLER,pro:sub v prep n,CHI,139,Target_Child,139,135.00277213084456,male,49.79,56.71,s,Clinical-MOR,17,256,18512,18512,31518
756,14059452,but he got stung by a bee,but he get sting by a bee,,,declarative,eng,9,7,10,POLER,conj pro:sub aux part prep det:art n,CHI,146,Target_Child,146,91.00186862153227,female,59.438,62.079,s,Clinical-MOR,17,256,18518,18518,31521
757,14059454,but in his jar the d the dog looked in a in a boot in his boot,the dog look in his boot,,,declarative,eng,7,17,7,POLER,det:art n v prep det:poss n,CHI,217,Target_Child,217,52.00106778373272,male,,,None,Clinical-MOR,17,256,18517,18517,31520
758,14059455,then the boy had looked everywhere and looked for the frog,then the boy have look everywhere and look for the frog,,,declarative,eng,14,11,8,POLER,adv:tem det:art n aux part n coord v prep det:art n,CHI,136,Target_Child,136,110.00225877328076,female,37.522,47.605,s,Clinical-MOR,17,256,18513,18513,31519
